stable_id,mmsi,imo,flag_norm,vessel_type_norm,nav_status_norm,destination_norm,port_name_norm,locode_norm,timestamp_date,timestamp_full,latitude,longitude
230202000_2022-01-25T15-51-57_00-00_FIRAA_port_call,230202000,8503503,UNKNOWN,cargo ship,unknown,LULEA,raahe,FIRAA,2022-01-25,2022-01-25T15:51:57+00:00,,
265610040_2022-01-25T21-17-18_00-00_SEGOT_port_call,265610040,9390458,UNKNOWN,tanker,unknown,BROFJORDEN,göteborg,SEGOT,2022-01-25,2022-01-25T21:17:18+00:00,,
209075000_2022-01-26T04-52-53_00-00_PLGDY_port_call,209075000,9277278,UNKNOWN,cargo ship,unknown,KLAIPEDA,gdynia,PLGDY,2022-01-26,2022-01-26T04:52:53+00:00,,
220223000_2022-01-26T06-28-23_00-00_SEGOT_port_call,220223000,9259501,UNKNOWN,cargo ship,unknown,SEGOT UKIMM,göteborg,SEGOT,2022-01-26,2022-01-26T06:28:23+00:00,,
266232000_2022-01-26T08-42-05_00-00_SESKE_port_call,266232000,9334959,UNKNOWN,cargo ship,unknown,SESFT,skelleftehamn,SESKE,2022-01-26,2022-01-26T08:42:05+00:00,,
235059487_2022-01-26T10-47-58_00-00_FIHKO_port_call,235059487,9357597,UNKNOWN,cargo ship,unknown,LUBECK,hanko,FIHKO,2022-01-26,2022-01-26T10:47:58+00:00,,
230358000_2022-01-26T16-37-37_00-00_LVRIX_port_call,230358000,8418174,UNKNOWN,cargo ship,unknown,DK CPH,riga,LVRIX,2022-01-26,2022-01-26T16:37:37+00:00,,
305067000_2022-01-28T02-44-46_00-00_SEGOT_port_call,305067000,9422275,UNKNOWN,cargo ship,unknown,BEOST,göteborg,SEGOT,2022-01-28,2022-01-28T02:44:46+00:00,,
255806256_2022-01-28T16-29-59_00-00_EEMUG_port_call,255806256,9333395,UNKNOWN,cargo ship,unknown,SENRK,muuga,EEMUG,2022-01-28,2022-01-28T16:29:59+00:00,,
255735000_2022-01-29T01-03-24_00-00_LVVNT_port_call,255735000,9191175,UNKNOWN,tanker,unknown,ROTTERDAM,ventspils,LVVNT,2022-01-29,2022-01-29T01:03:24+00:00,,
212702000_2022-01-29T04-40-00_00-00_PLGDN_port_call,212702000,9195901,UNKNOWN,cargo ship,unknown,DEVEJ,gdansk,PLGDN,2022-01-29,2022-01-29T04:40:00+00:00,,
258003290_2022-01-30T17-27-05_00-00_SEGOT_port_call,258003290,8611958,UNKNOWN,cargo ship,unknown,FALKENBERG,göteborg,SEGOT,2022-01-30,2022-01-30T17:27:05+00:00,,
231794000_2022-02-01T08-40-07_00-00_SESTE_port_call,231794000,9020285,UNKNOWN,cargo ship,unknown,DK MARIAGER PILOT,stenungsund,SESTE,2022-02-01,2022-02-01T08:40:07+00:00,,
261037120_2022-02-02T00-14-07_00-00_PLSWI_port_call,261037120,9131199,UNKNOWN,tanker,unknown,GDANSK,swinoujscie,PLSWI,2022-02-02,2022-02-02T00:14:07+00:00,,
231843000_2022-02-02T00-31-05_00-00_SEOTT_port_call,231843000,9263564,UNKNOWN,cargo ship,unknown,LV SAL SE GMS,otterbacken,SEOTT,2022-02-02,2022-02-02T00:31:05+00:00,,
220223000_2022-02-02T06-38-44_00-00_SEGOT_port_call,220223000,9259501,UNKNOWN,cargo ship,unknown,SEGOT UKIMM,göteborg,SEGOT,2022-02-02,2022-02-02T06:38:44+00:00,,
210131000_2022-02-02T11-19-14_00-00_PLSZZ_port_call,210131000,8221363,UNKNOWN,cargo ship,unknown,RIJEKA,szczecin,PLSZZ,2022-02-02,2022-02-02T11:19:14+00:00,,
304924000_2022-02-02T23-39-01_00-00_SESOE_port_call,304924000,9375874,UNKNOWN,cargo ship,unknown,GN KMR VIA NOK,södertälje,SESOE,2022-02-02,2022-02-02T23:39:01+00:00,,
266212000_2022-02-03T14-40-18_00-00_SEGOT_port_call,266212000,9346641,UNKNOWN,tanker,unknown,SKAW EAST,göteborg,SEGOT,2022-02-03,2022-02-03T14:40:18+00:00,,
636021410_2022-02-03T16-07-04_00-00_LVVNT_port_call,636021410,9376658,UNKNOWN,tanker,unknown,SKAGEN,ventspils,LVVNT,2022-02-03,2022-02-03T16:07:04+00:00,,
